ID_Cliente;Ingreso_Mensual;Gasto_Marketing;Edad;Puntaje_Satisfaccion;Tiempo_Plataforma;Tipo_Suscripcion;Genero;Decision_Compra;Sector_Industrial;Nivel_Fidelidad
135;16862.59;1138.96;28;64;38.1;básica;Masculino;No;Tecnología;Alto
136;27974.7;1441.02;34;69;52.2;estándar;Masculino;Sí;Tecnología;Alto
137;17475.36;1497.37;21;78;300.0;estándar;Femenino;Sí;Finanzas;Medio
138;19550.72;893.1;64;91;105.1;básica;Masculino;No;Tecnología;Bajo
139;24660.83;1349.35;42;78;168.9;Premium;Femenino;Sí;Retail;Medio
140;15461.11;1375.29;47;52;61.1;básica;Masculino;Sí;Tecnología;Medio
141;22023.57;1125.61;26;68;72.9;estándar;Masculino;No;Finanzas;Medio
142;26882.14;1543.93;38;52;26.1;estándar;Masculino;Sí;Tecnología;Alto
143;13766.33;1162.49;37;63;32.5;básica;Femenino;No;Retail;Alto
144;21830.85;1231.39;36;89;220.8;Premium;Femenino;Sí;Tecnología;Medio
145;22169.47;1156.73;36;53;115.5;estándar;Femenino;Sí;Retail;Bajo
146;24518.2;1203.89;29;60;59.4;estándar;Masculino;Sí;Finanzas;Medio
147;15433.72;925.93;54;80;204.9;básica;Masculino;Sí;Tecnología;Medio
148;15057.95;839.99;59;92;44.0;básica;Femenino;No;Retail;Bajo
149;23348.74;1598.63;34;81;457.7;básica;Masculino;Sí;Retail;Alto
150;22336.43;988.26;54;76;60.7;estándar;Masculino;Sí;Tecnología;Medio
151;22127.22;952.15;65;79;59.4;estándar;Masculino;No;Finanzas;Medio
152;22559.02;661.65;56;92;54.9;Premium;Masculino;Sí;Tecnología;Medio
153;17939.89;1040.26;45;51;25.6;estándar;Masculino;No;Retail;Alto
154;22045.14;869.23;58;98;24.1;Premium;Femenino;Sí;Tecnología;Medio
155;22318.83;1610.5;52;58;135.3;estándar;Femenino;No;Tecnología;Medio
156;17785.42;1452.45;64;77;259.6;básica;Femenino;Sí;Tecnología;Alto
157;29395.99;1027.96;65;80;197.6;básica;No responde;No;Retail;Medio
158;23132.25;1763.11;35;83;28.3;estándar;Masculino;No;Retail;Alto
159;15639.13;1445.44;31;64;104.6;básica;Masculino;Sí;Retail;Bajo
160;23954.49;1118.79;52;97;23.4;básica;Femenino;Sí;Tecnología;Medio
161;16613.93;575.15;61;74;15.6;estándar;Femenino;No;Tecnología;Bajo
162;24541.88;1772.74;58;85;138.2;Premium;Femenino;Sí;Finanzas;Medio
163;26213.68;852.61;24;57;101.9;básica;Femenino;Sí;Finanzas;Alto
164;17306.93;788.65;58;58;20.3;estándar;Masculino;Sí;Tecnología;Alto
165;25335.19;1455.64;30;86;14.3;Premium;No responde;No;Retail;Alto
166;22857.51;1809.94;35;97;559.7;estándar;Masculino;Sí;Tecnología;Alto
167;24699.27;1546.07;54;94;13.7;básica;Masculino;Sí;Finanzas;Medio
168;29535.57;1340.98;30;88;80.6;básica;Femenino;Sí;Finanzas;Alto
169;19895.75;1348.69;53;81;94.3;estándar;Femenino;No;Finanzas;Medio
170;17608.19;1413.35;48;66;25.0;estándar;Femenino;No;Finanzas;Medio
171;16997.19;1389.73;19;84;32.2;Premium;Masculino;No;Tecnología;Medio
172;17328.85;1270.3;33;86;62.0;estándar;Masculino;Sí;Finanzas;Medio
173;20653.04;1226.05;26;68;182.1;básica;Femenino;No;Retail;Medio
174;22535.18;1184.35;26;93;94.9;básica;Femenino;Sí;Tecnología;Bajo
175;22245.11;1011.51;55;78;131.9;estándar;Femenino;Sí;Retail;Alto
176;24722.32;1129.83;28;56;515.4;básica;Femenino;Sí;Finanzas;Medio
177;21058.51;776.76;39;77;185.3;básica;Femenino;Sí;Finanzas;Medio
178;27540.9;1175.42;50;58;78.4;estándar;Femenino;No;Tecnología;Medio
179;19809.04;952.85;53;77;81.0;básica;Femenino;Sí;Retail;Medio
180;33240.76;924.1;62;55;125.7;básica;Masculino;No;Finanzas;Medio
181;23815.5;1244.97;40;78;141.4;estándar;Masculino;No;Tecnología;Medio
182;17142.79;1548.0;62;66;93.3;básica;Femenino;No;Retail;Medio
183;16180.98;1429.58;62;65;134.2;básica;Femenino;Sí;Retail;Bajo
184;23171.13;807.37;51;72;12.9;estándar;Femenino;Sí;Retail;Bajo
185;19994.42;952.59;26;80;77.4;Premium;Femenino;No;Tecnología;Medio
186;24213.0;1435.19;41;52;49.2;básica;Femenino;Sí;Retail;Alto
187;23129.57;954.38;25;70;26.6;estándar;Masculino;Sí;Finanzas;Bajo
188;20672.27;1143.84;24;75;22.6;estándar;Masculino;Sí;Retail;Bajo
189;17189.43;1337.51;53;85;120.9;estándar;Masculino;Sí;Finanzas;Alto
190;14183.19;957.91;35;91;99.0;Premium;Femenino;No;Tecnología;Medio
191;18990.68;1226.34;20;86;45.1;estándar;Masculino;Sí;Tecnología;Bajo
192;24853.79;866.49;45;71;86.4;Premium;Femenino;Sí;Retail;Medio
193;21963.42;1049.66;23;91;91.3;básica;Femenino;Sí;Tecnología;Alto
194;15394.18;1279.95;61;61;36.0;básica;Masculino;Sí;Finanzas;Medio
195;21779.31;801.75;61;91;136.7;Premium;Masculino;Sí;Tecnología;Bajo
196;22733.93;1310.12;38;62;192.2;estándar;Masculino;Sí;Retail;Bajo
197;17022.64;1195.09;45;60;198.1;básica;Masculino;Sí;Tecnología;Medio
198;21691.76;1338.12;57;65;120.7;estándar;Masculino;Sí;Finanzas;Medio
199;21261.94;1255.98;18;57;96.0;Premium;Masculino;Sí;Tecnología;Alto
200;15856.63;1541.04;53;89;17.6;Premium;Masculino;Sí;Tecnología;Bajo
201;22610.04;1231.31;38;89;50.7;básica;Masculino;Sí;Tecnología;Alto
202;23523.53;1092.65;60;94;21.7;Premium;Masculino;Sí;Finanzas;Bajo
203;25873.73;1230.57;52;51;408.3;básica;No responde;No;Tecnología;Medio
204;25742.11;1335.82;30;79;27.4;básica;Masculino;Sí;Tecnología;Bajo
205;14800.49;1212.22;27;79;29.8;estándar;Femenino;Sí;Tecnología;Alto
206;16779.79;1210.15;61;61;274.4;básica;Masculino;Sí;Retail;Medio
207;23317.66;1024.5;64;59;355.7;básica;Femenino;No;Tecnología;Alto
208;23312.04;1034.27;27;93;184.2;estándar;Femenino;Sí;Tecnología;Medio
209;23317.71;849.35;63;60;10.7;básica;Femenino;No;Tecnología;Bajo
210;38337.29;1637.39;30;64;10.2;básica;Masculino;Sí;Retail;Medio
211;23569.01;889.03;54;65;67.0;básica;Masculino;No;Retail;Medio
212;26110.05;1026.77;55;66;28.6;estándar;Femenino;No;Retail;Alto
213;25293.01;1020.4;41;75;12.2;estándar;Femenino;Sí;Finanzas;Bajo
214;23931.26;1423.73;19;51;84.8;estándar;Femenino;Sí;Finanzas;Medio
215;19581.29;1126.26;39;99;353.9;estándar;Masculino;Sí;Tecnología;Medio
216;24415.36;1511.94;34;61;57.0;estándar;Femenino;Sí;Finanzas;Medio
217;17522.29;1031.63;53;100;139.9;Premium;Femenino;Sí;Retail;Medio
218;19934.32;1269.75;31;75;136.7;básica;Femenino;Sí;Finanzas;Medio
219;18815.86;991.16;27;72;44.7;básica;Masculino;Sí;Retail;Medio
220;21368.43;1736.29;52;67;136.1;Premium;Femenino;Sí;Retail;Medio
221;31415.96;903.1;42;81;38.6;estándar;Masculino;Sí;Retail;Bajo
222;12597.31;1277.46;20;98;25.6;Premium;Femenino;Sí;Finanzas;Bajo
223;24088.17;1358.44;64;87;155.0;estándar;Masculino;Sí;Tecnología;Alto
224;13742.78;1303.45;55;96;24.4;estándar;Femenino;No;Tecnología;Medio
225;18876.31;1153.68;34;52;703.5;estándar;Masculino;Sí;Tecnología;Alto
226;25900.28;1167.54;29;87;34.3;estándar;Femenino;No;Tecnología;Alto
227;21289.26;1210.95;41;52;118.2;estándar;Masculino;Sí;Retail;Medio
228;16150.15;1163.25;46;79;73.6;estándar;Masculino;Sí;Tecnología;Bajo
229;17781.13;1440.97;60;50;26.2;estándar;Masculino;Sí;Tecnología;Alto
230;24058.19;1752.63;42;79;13.4;Premium;Masculino;Sí;Finanzas;Medio
231;17713.35;1060.63;53;94;127.0;básica;Femenino;No;Retail;Bajo
232;21974.06;857.55;43;81;207.3;básica;Masculino;No;Retail;Bajo
233;21205.07;1177.93;55;77;231.4;estándar;Masculino;Sí;Tecnología;Medio
234;18067.8;1844.93;18;70;89.1;estándar;Femenino;No;Tecnología;Medio
235;30647.75;999.08;37;95;190.3;Premium;Masculino;Sí;Finanzas;Medio
236;23852.64;1609.78;45;62;144.1;básica;Femenino;No;Finanzas;Alto
237;11886.86;1619.43;33;76;164.6;estándar;Femenino;No;Tecnología;Alto
238;21839.04;1061.6;64;85;91.4;estándar;Femenino;Sí;Finanzas;Alto
239;18021.96;1342.25;34;56;130.4;estándar;Femenino;Sí;Finanzas;Medio
240;24835.95;1607.1;57;71;206.5;Premium;Masculino;Sí;Finanzas;Bajo
241;17433.66;1105.22;45;59;70.9;básica;Femenino;No;Retail;Medio
242;20483.69;1149.1;29;88;206.8;estándar;Femenino;Sí;Tecnología;Medio
243;23272.44;1054.58;44;64;117.6;Premium;Femenino;No;Retail;Medio
244;24895.9;946.31;59;64;31.8;Premium;Masculino;No;Retail;Alto
245;15598.67;1037.68;64;53;13.0;estándar;Masculino;Sí;Tecnología;Medio
246;19494.74;894.01;47;81;64.1;estándar;Femenino;Sí;Finanzas;Bajo
247;18862.75;1208.52;58;72;104.9;básica;Femenino;No;Tecnología;Alto
248;18060.02;1007.51;51;55;229.8;estándar;Femenino;Sí;Retail;Alto
249;28944.54;1258.45;54;73;26.4;Premium;Masculino;No;Tecnología;Medio
250;22822.42;811.03;23;69;203.3;estándar;Masculino;Sí;Retail;Medio
251;15326.02;1282.72;24;86;248.5;básica;Femenino;Sí;Tecnología;Medio
252;25130.38;1408.38;49;69;29.6;básica;Femenino;Sí;Finanzas;Medio
253;30549.7;701.57;49;61;238.9;básica;Masculino;No;Retail;Medio
254;25646.09;1293.51;42;82;581.5;básica;Masculino;Sí;Finanzas;Alto
255;14162.84;1506.92;50;77;165.7;básica;Femenino;No;Finanzas;Medio
256;18820.95;897.59;24;57;194.3;estándar;Femenino;Sí;Retail;Medio
257;26701.1;1618.14;29;50;632.5;básica;Femenino;No;Finanzas;Bajo
258;17815.49;1304.75;33;86;121.6;básica;Masculino;Sí;Tecnología;Bajo
259;22997.19;1023.75;33;71;54.2;estándar;Masculino;Sí;Tecnología;Bajo
260;24485.85;1186.06;60;55;228.1;básica;Masculino;No;Tecnología;Medio
261;16828.81;1339.58;53;70;124.4;básica;Masculino;Sí;Tecnología;Medio
262;20732.14;1219.0;30;81;114.4;básica;Femenino;Sí;Finanzas;Medio
263;6414.3;1334.69;24;84;45.1;básica;Masculino;Sí;Tecnología;Bajo
264;16390.26;969.83;53;64;179.4;estándar;Masculino;No;Retail;Alto
265;19863.44;1242.34;64;54;20.2;básica;Femenino;No;Retail;Medio
266;15384.98;846.57;26;95;319.7;estándar;Masculino;Sí;Retail;Medio
267;28345.85;1172.19;49;99;57.3;Premium;Femenino;Sí;Retail;Medio
268;14564.36;974.02;28;97;26.4;estándar;Femenino;No;Finanzas;Alto
269;19019.8;1016.12;25;55;80.1;estándar;Masculino;Sí;Tecnología;Medio
270;21588.33;1509.02;50;74;15.2;Premium;Masculino;No;Tecnología;Medio
271;27485.73;1472.83;40;95;148.5;estándar;Masculino;Sí;Retail;Medio
272;14538.62;1352.28;42;89;289.6;básica;Femenino;No;Retail;Medio
273;26234.24;926.92;25;78;227.9;estándar;Masculino;No;Retail;Medio
274;21046.05;1120.9;62;56;26.3;Premium;Masculino;No;Finanzas;Bajo
275;16583.21;1503.27;39;89;26.2;básica;Femenino;No;Retail;Medio
276;23079.47;1235.43;21;62;211.5;básica;No responde;Sí;Retail;Medio
277;21895.77;1779.83;57;87;319.6;estándar;Masculino;Sí;Tecnología;Alto
278;18299.02;1298.33;20;67;84.1;Premium;Femenino;Sí;Retail;Alto
279;21314.11;1248.01;46;51;92.9;básica;Masculino;Sí;Retail;Medio
280;19266.09;1122.72;58;57;56.0;estándar;Femenino;Sí;Tecnología;Medio
281;21510.83;1233.39;46;60;279.6;básica;Femenino;No;Tecnología;Medio
282;23979.59;1161.88;51;82;134.2;estándar;Femenino;Sí;Finanzas;Alto
283;28137.08;1377.03;51;87;50.8;básica;No responde;Sí;Tecnología;Bajo
284;15429.83;1439.18;45;97;52.6;básica;Femenino;Sí;Tecnología;Medio
285;30598.65;1003.5;30;76;276.2;Premium;Masculino;No;Retail;Alto
286;12215.6;867.19;32;69;11.6;estándar;Femenino;Sí;Tecnología;Medio
287;20316.97;740.95;40;61;56.8;estándar;Masculino;Sí;Finanzas;Bajo
288;23647.43;1327.0;61;92;107.0;estándar;Masculino;No;Tecnología;Medio
289;22264.46;924.16;43;80;29.3;básica;Masculino;Sí;Retail;Medio
290;18197.85;661.78;21;76;21.6;estándar;Femenino;Sí;Retail;Medio
291;20063.45;1297.14;43;81;212.7;básica;Masculino;Sí;Finanzas;Alto
292;18781.5;1823.25;57;59;279.8;estándar;No responde;No;Tecnología;Medio
293;18347.86;1198.48;26;52;218.2;básica;Masculino;Sí;Retail;Alto
294;24823.21;1409.62;22;94;284.9;estándar;Masculino;No;Retail;Medio
295;22606.57;1220.46;49;76;106.7;Premium;Masculino;Sí;Retail;Alto
296;17881.91;1175.28;37;84;210.7;Premium;Femenino;No;Retail;Bajo
297;25048.2;1429.77;28;80;68.1;estándar;Masculino;Sí;Retail;Medio
298;22382.85;1127.43;32;64;141.7;básica;Masculino;Sí;Finanzas;Alto
299;24657.88;1266.85;49;65;549.4;estándar;Femenino;Sí;Tecnología;Medio
300;23833.33;1280.42;45;62;40.7;Premium;Femenino;Sí;Tecnología;Alto
301;17269.52;1032.98;39;98;69.3;básica;Femenino;Sí;Finanzas;Medio
302;18479.19;1448.01;58;84;88.5;Premium;Masculino;No;Tecnología;Medio
303;24362.82;1156.26;34;60;27.8;básica;Masculino;Sí;Finanzas;Alto
304;23746.67;1011.06;43;70;20.1;Premium;Femenino;No;Retail;Alto
305;20905.94;1334.13;61;100;222.4;Premium;Femenino;No;Retail;Medio
306;21527.97;975.38;24;60;461.6;Premium;Femenino;Sí;Tecnología;Alto
307;26749.49;1207.05;59;79;72.2;básica;Femenino;No;Tecnología;Medio
308;18337.93;1197.72;43;97;21.0;básica;Femenino;Sí;Retail;Medio
309;23461.94;1471.47;42;84;18.2;estándar;Masculino;Sí;Finanzas;Medio
310;20090.13;1318.67;27;71;276.3;básica;Femenino;No;Finanzas;Medio
311;20020.43;1193.74;62;87;84.8;básica;Masculino;No;Tecnología;Medio
312;25944.5;1404.44;36;80;56.3;estándar;Masculino;Sí;Tecnología;Bajo
313;24714.37;1547.55;28;63;87.7;estándar;Femenino;Sí;Tecnología;Alto
314;24660.79;1339.45;30;73;56.0;estándar;Masculino;Sí;Finanzas;Alto
315;26874.65;1202.59;25;99;90.6;estándar;Masculino;No;Tecnología;Alto
316;21094.52;872.04;57;98;245.6;básica;Masculino;Sí;Tecnología;Alto
317;24068.79;933.72;21;81;117.7;Premium;Femenino;Sí;Tecnología;Alto
318;19603.8;1123.69;64;85;152.4;básica;Femenino;Sí;Tecnología;Medio
319;22458.75;1047.62;48;81;64.4;estándar;Femenino;Sí;Finanzas;Medio
320;20414.36;1153.26;45;64;171.0;estándar;Femenino;Sí;Retail;Bajo
321;21436.48;1214.16;28;92;141.8;Premium;Femenino;Sí;Tecnología;Alto
322;23678.21;1332.42;60;84;25.3;básica;Femenino;Sí;Tecnología;Medio
323;17318.01;1182.38;18;52;112.0;estándar;Femenino;Sí;Tecnología;Bajo
324;30415.74;1321.63;64;65;45.6;estándar;Femenino;No;Tecnología;Bajo
325;16472.92;1216.12;55;54;205.6;básica;Femenino;Sí;Tecnología;Medio
326;15536.15;706.13;41;70;76.6;estándar;Femenino;No;Retail;Medio
327;26211.5;965.17;64;59;638.4;Premium;No responde;No;Tecnología;Bajo
328;24562.48;1163.98;48;68;21.6;Premium;Femenino;No;Tecnología;Medio
329;23808.54;897.58;58;74;191.9;básica;Masculino;No;Tecnología;Alto
330;23827.55;1349.98;63;53;144.4;básica;Femenino;Sí;Finanzas;Bajo
331;20944.89;1582.69;43;78;185.1;básica;Masculino;Sí;Retail;Medio
332;16962.36;1504.69;22;68;54.1;estándar;Femenino;Sí;Retail;Alto
333;21341.12;1146.64;37;92;91.3;básica;Masculino;Sí;Retail;Medio
334;17952.77;1572.68;58;51;201.1;básica;Masculino;No;Retail;Medio
